0x1c04e940:	0x1e1f1f1f	0x1d1f1f1f	0x1e1f1f1f	0x1e1e1e1f
0x1c04e950:	0x1e1f1e1f	0x1e1f1f1f	0x1e1f1f1f	0x1f1f1f1e
0x1c04e960:	0x1c1e1c1e	0x1c1c1c1c	0x1c1c1c1c	0x1c1c1c1c
0x1c04e970:	0x1c1c1c1c	0x1c1c1c1c	0x1c1c1c1c	0x1c1e1c1c
0x1c04e980:	0x191b1c1c	0x1b1c1b1c	0x1b1b1b1b	0x1b1b1b1b
0x1c04e990:	0x1b1b1b1b	0x1b1b1b1c	0x1b1b1b1b	0x1b1c1b1c
0x1c04e9a0:	0x18191819	0x19191819	0x19191819	0x18191819
0x1c04e9b0:	0x18191918	0x18191819	0x1819191a	0x18191819
0x1c04e9c0:	0x17181818	0x18181718	0x17181818	0x18181718
0x1c04e9d0:	0x18181718	0x18181818	0x18181818	0x18181818
0x1c04e9e0:	0x16171718	0x17171717	0x17171717	0x17171617
0x1c04e9f0:	0x17171717	0x16171717	0x17171717	0x17181717
0x1c04ea00:	0x16171717	0x16161616	0x16161617	0x16161617
0x1c04ea10:	0x16171617	0x15161617	0x17171717	0x17171717
0x1c04ea20:	0x13151516	0x16161514	0x14141516	0x14151516
0x1c04ea30:	0x14151416	0x16161516	0x16161616	0x16161616
0x1c04ea40:	0x14161414	0x14161514	0x14161515	0x16151416
0x1c04ea50:	0x15161414	0x14161416	0x16161516	0x16161615
0x1c04ea60:	0x13141314	0x13141314	0x14141414	0x13141313
0x1c04ea70:	0x15151414	0x13151415	0x15141416	0x15161514
0x1c04ea80:	0x13141415	0x14141413	0x15161314	0x14141315
0x1c04ea90:	0x13141415	0x14151414	0x14141415	0x16171615
0x1c04eaa0:	0x13141314	0x14151414	0x14141414	0x14141414
0x1c04eab0:	0x14141514	0x14141415	0x14141515	0x14151415
0x1c04eac0:	0x14151414	0x14151414	0x14141415	0x14141414
0x1c04ead0:	0x14141414	0x15151515	0x14151516	0x16161415
0x1c04eae0:	0x13151415	0x14141415	0x14151415	0x14141414
0x1c04eaf0:	0x14141514	0x15151515	0x15151516	0x16161516
0x1c04eb00:	0x14161516	0x15151515	0x15161516	0x15161516
0x1c04eb10:	0x16161516	0x14151416	0x15161616	0x16161616
0x1c04eb20:	0x14161617	0x16161615	0x15171615	0x15161616
0x1c04eb30:	0x15171516	0x16161616	0x16171717	0x17171717
