0x1c04e940:	0x04030406	0x03030403	0x04040603	0x04030304
0x1c04e950:	0x04030504	0x04030504	0x03030503	0x06050503
0x1c04e960:	0x05050505	0x06050303	0x05050504	0x05060605
0x1c04e970:	0x06050603	0x06040505	0x06060503	0x05060504
0x1c04e980:	0x05030605	0x04050405	0x06030604	0x05040604
0x1c04e990:	0x05030504	0x04050506	0x03040605	0x05050503
0x1c04e9a0:	0x06060604	0x06060606	0x06050606	0x06050606
0x1c04e9b0:	0x06060705	0x05060606	0x06040606	0x06050606
0x1c04e9c0:	0x06060605	0x06060506	0x06060606	0x06060606
0x1c04e9d0:	0x06060606	0x06060706	0x06060606	0x06050605
0x1c04e9e0:	0x07070607	0x07060705	0x07070707	0x07060606
0x1c04e9f0:	0x06060706	0x07060606	0x06060606	0x06060706
0x1c04ea00:	0x07070707	0x07070707	0x07070707	0x07070707
0x1c04ea10:	0x07070707	0x07070707	0x07070707	0x07070707
0x1c04ea20:	0x07070707	0x07070707	0x07070707	0x07070707
0x1c04ea30:	0x07070707	0x07070707	0x07070707	0x07070707
0x1c04ea40:	0x09090809	0x09080907	0x09080908	0x09080909
0x1c04ea50:	0x09070908	0x08090907	0x08070807	0x09080907
0x1c04ea60:	0x09070909	0x0a0a0909	0x09090909	0x09080909
0x1c04ea70:	0x0a090908	0x09090909	0x09080909	0x09080909
0x1c04ea80:	0x0c0b0b0b	0x0b0b0b0a	0x0c0b0a0b	0x0b0a0b0b
0x1c04ea90:	0x0b0b0b0b	0x0b0a0b09	0x0b0a0b0a	0x0b0b0b0a
0x1c04eaa0:	0x0b0a0b0b	0x0c0b0b0b	0x0b0b0b0b	0x0b0b0b0b
0x1c04eab0:	0x0b0b0c0b	0x0c0b0b0b	0x0b0a0c0a	0x0b0b0b0b
0x1c04eac0:	0x0c0c0c0c	0x0c0c0c0c	0x0c0c0c0c	0x0c0c0c0c
0x1c04ead0:	0x0c0c0c0c	0x0c0c0c0c	0x0c0c0c0c	0x0d0c0c0c
0x1c04eae0:	0x0c0c0c0c	0x0c0c0c0c	0x0c0c0c0c	0x0c0c0d0c
0x1c04eaf0:	0x0c0c0d0c	0x0c0c0c0c	0x0c0c0c0c	0x0c0c0c0c
0x1c04eb00:	0x0e0d0d0d	0x0e0d0d0d	0x0e0d0d0e	0x0e0e0d0d
0x1c04eb10:	0x0e0e0d0e	0x0d0d0d0d	0x0d0c0d0d	0x0e0d0d0e
0x1c04eb20:	0x0d0d0d0d	0x0e0d0e0d	0x0d0d0d0c	0x0d0e0e0d
0x1c04eb30:	0x0d0e0d0d	0x0c0d0d0d	0x0e0d0c0d	0x0d0d0c0e
0x1c04e940:	0x04030605	0x03030403	0x04050603	0x04030304
0x1c04e950:	0x04040404	0x04030504	0x03030503	0x06050503
0x1c04e960:	0x05050506	0x06050303	0x05050504	0x05060606
0x1c04e970:	0x06050603	0x06040505	0x06060503	0x05060504
0x1c04e980:	0x04030605	0x04050405	0x06030604	0x05040604
0x1c04e990:	0x05040504	0x04050506	0x03040605	0x05050503
0x1c04e9a0:	0x06060604	0x06060606	0x06050606	0x06060606
0x1c04e9b0:	0x06060705	0x05060606	0x06040606	0x06050606
0x1c04e9c0:	0x06060606	0x06060506	0x06060606	0x06050706
0x1c04e9d0:	0x06060607	0x06060706	0x06060606	0x06050605
0x1c04e9e0:	0x07070607	0x07060705	0x07070707	0x07060606
0x1c04e9f0:	0x06060706	0x07070606	0x06060606	0x06060706
0x1c04ea00:	0x07070707	0x07070707	0x07070707	0x07070707
0x1c04ea10:	0x07070707	0x07070707	0x07070707	0x07070707
0x1c04ea20:	0x07070707	0x07070707	0x07070707	0x07070707
0x1c04ea30:	0x07070707	0x07070707	0x07070707	0x07070707
0x1c04ea40:	0x09090909	0x09090907	0x09080908	0x09080909
0x1c04ea50:	0x09070908	0x08090907	0x08070807	0x09080907
0x1c04ea60:	0x09080909	0x0a0a0909	0x09090909	0x09080909
0x1c04ea70:	0x0a090908	0x09090909	0x09080909	0x09080909
0x1c04ea80:	0x0c0b0b0b	0x0b0b0b0a	0x0c0b0a0b	0x0b0a0b0b
