0x1c04e940:	0x191b191b	0x18191919	0x191b1b19	0x1919191a
0x1c04e950:	0x191b1919	0x19191b1a	0x18191919	0x191b1a19
0x1c04e960:	0x18191819	0x18181818	0x18181818	0x18181818
0x1c04e970:	0x18181918	0x18181819	0x18191818	0x18191818
0x1c04e980:	0x17181818	0x18181818	0x18171817	0x18181818
0x1c04e990:	0x18181818	0x17181718	0x18181818	0x17181818
0x1c04e9a0:	0x17171617	0x17171717	0x17171717	0x17171717
0x1c04e9b0:	0x17171717	0x17171717	0x17171718	0x17171717
0x1c04e9c0:	0x15171716	0x16171517	0x16161617	0x16161616
0x1c04e9d0:	0x17171617	0x17161617	0x16171717	0x17171717
0x1c04e9e0:	0x14161517	0x16151614	0x14161415	0x16151415
0x1c04e9f0:	0x15151414	0x14161415	0x14161516	0x15161515
0x1c04ea00:	0x13151315	0x14151414	0x14131414	0x13141416
0x1c04ea10:	0x13141414	0x13141315	0x14151515	0x14161415
0x1c04ea20:	0x13131313	0x13131313	0x13131314	0x13131314
0x1c04ea30:	0x13131314	0x13141314	0x14141413	0x14131314
0x1c04ea40:	0x13141313	0x13141313	0x13141314	0x14131313
0x1c04ea50:	0x13131313	0x13141314	0x14131313	0x13141313
0x1c04ea60:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04ea70:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04ea80:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04ea90:	0x13131313	0x13131313	0x13131313	0x13141313
0x1c04eaa0:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04eab0:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04eac0:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04ead0:	0x13131313	0x13131313	0x13131314	0x13131313
0x1c04eae0:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04eaf0:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04eb00:	0x13131314	0x13131313	0x13131313	0x13131313
0x1c04eb10:	0x13131313	0x13131313	0x13131313	0x14141413
0x1c04eb20:	0x13141313	0x13131313	0x13141313	0x13131313
0x1c04eb30:	0x13141314	0x13141313	0x13141414	0x14141314
